iter	Passed	Remaining
467	735	836
468	736	834
469	737	831
470	738	829
471	740	828
472	741	826
473	742	823
474	743	821
475	744	819
476	745	817
477	746	815
478	747	812
479	748	810
480	749	808
481	750	806
482	751	803
483	752	801
484	752	799
485	753	797
486	754	795
487	755	793
488	756	790
489	757	788
490	758	786
491	759	784
492	760	782
493	761	780
494	762	778
495	763	776
496	764	773
497	765	771
498	766	769
499	767	767
500	768	765
501	769	763
502	770	761
503	771	759
504	772	757
505	773	754
506	774	752
507	775	750
508	776	748
509	777	746
510	778	744
511	779	742
512	780	740
513	781	738
514	782	736
515	783	734
516	784	732
517	785	730
518	786	728
519	787	726
520	788	724
521	789	722
522	790	721
523	792	719
524	793	717
525	794	716
526	795	714
527	796	712
528	797	710
529	798	708
530	799	706
531	800	704
532	801	702
533	802	700
534	803	698
535	804	696
536	805	694
537	806	692
538	807	690
539	808	689
540	811	688
541	812	686
542	813	685
543	815	683
544	816	681
545	817	679
546	818	677
547	819	676
548	820	674
549	821	672
550	823	670
551	824	668
552	825	667
553	826	665
554	827	663
555	828	661
556	829	659
557	830	657
558	831	655
559	831	653
560	832	651
561	833	649
562	835	648
563	836	646
564	837	644
565	838	642
566	839	640
567	839	638
568	840	636
569	841	635
570	842	633
571	843	631
572	844	629
573	845	627
574	846	625
575	847	624
576	848	622
577	850	620
578	851	618
579	852	616
580	852	615
581	853	613
582	854	611
583	855	609
584	856	607
585	857	605
586	858	604
587	859	602
588	860	600
589	861	598
590	862	596
591	863	595
592	864	593
593	865	591
594	866	589
595	867	588
596	868	586
597	869	584
598	870	582
599	871	581
600	872	579
601	873	577
602	874	575
603	875	573
604	876	572
605	877	570
606	878	568
607	879	567
608	880	565
609	881	563
610	882	561
611	883	559
612	884	558
613	885	556
614	886	554
615	887	552
616	888	551
617	889	549
618	890	547
619	890	546
620	892	544
621	893	543
622	894	541
623	895	539
624	896	537
625	897	536
626	898	534
627	899	532
628	899	530
629	901	529
630	902	527
631	902	525
632	903	524
633	904	522
634	906	520
635	907	519
636	908	517
637	909	515
638	910	514
639	911	512
640	912	510
641	913	509
642	914	507
643	914	505
644	915	504
645	916	502
646	917	500
647	918	499
648	919	497
649	921	495
650	922	494
651	923	492
652	923	490
653	924	489
654	925	487
655	926	486
656	927	484
657	928	482
658	929	481
659	930	479
660	931	477
661	932	476
662	933	474
663	935	473
664	937	472
665	938	470
666	939	469
667	940	467
668	942	466
669	943	464
670	944	463
671	945	461
672	946	460
673	947	458
674	948	456
675	950	455
676	951	454
677	952	452
678	953	450
679	954	449
680	955	447
681	956	446
682	957	444
683	958	442
684	959	441
685	960	439
686	961	437
687	962	436
688	963	434
689	965	433
690	966	432
691	967	430
692	968	429
693	969	427
694	970	426
695	971	424
696	972	422
697	973	421
698	974	419
699	975	418
700	976	416
701	977	415
702	978	413
703	980	412
704	981	410
705	982	409
706	983	407
707	984	405
708	985	404
709	986	402
710	987	401
711	988	399
712	989	398
713	990	396
714	991	395
715	992	393
716	994	392
717	995	390
718	996	389
719	997	387
720	998	386
721	999	384
722	1000	383
723	1001	381
724	1002	380
725	1003	378
726	1004	377
727	1006	375
728	1006	374
729	1008	372
730	1009	371
731	1010	370
732	1011	368
733	1012	367
734	1013	365
735	1014	363
736	1015	362
737	1016	360
738	1017	359
739	1018	357
740	1019	356
741	1020	354
742	1021	353
743	1023	352
744	1024	350
745	1025	349
746	1026	347
747	1027	346
748	1028	344
749	1029	343
750	1030	341
751	1031	340
752	1032	338
753	1033	337
754	1034	335
755	1035	334
756	1036	332
757	1037	331
758	1039	330
759	1040	328
760	1041	327
761	1042	325
762	1043	324
763	1044	322
764	1045	321
765	1046	319
766	1047	318
767	1048	316
768	1049	315
769	1050	313
770	1051	312
771	1052	310
772	1054	309
773	1055	308
774	1056	306
775	1057	305
776	1058	303
777	1059	302
778	1061	301
779	1062	299
780	1064	298
781	1065	297
782	1067	295
783	1068	294
784	1069	292
785	1070	291
786	1071	290
787	1072	288
788	1074	287
789	1075	285
790	1076	284
791	1077	282
792	1077	281
793	1078	279
794	1079	278
795	1081	277
796	1082	275
797	1083	274
798	1084	272
799	1085	271
800	1087	270
801	1088	268
802	1089	267
803	1089	265
804	1090	264
805	1091	262
806	1092	261
807	1093	259
808	1094	258
809	1096	257
810	1097	255
811	1098	254
812	1099	252
813	1100	251
814	1101	250
815	1102	248
816	1103	247
817	1104	245
818	1105	244
819	1106	242
820	1107	241
821	1108	239
822	1109	238
823	1110	237
824	1111	235
825	1112	234
826	1114	233
827	1115	231
828	1116	230
829	1117	228
830	1118	227
831	1118	225
832	1119	224
833	1120	223
834	1121	221
835	1122	220
836	1123	218
837	1125	217
838	1127	216
839	1128	214
840	1129	213
841	1130	212
842	1131	210
843	1132	209
844	1133	207
845	1134	206
846	1134	205
847	1136	203
848	1136	202
849	1137	200
850	1138	199
851	1140	198
852	1142	196
853	1143	195
854	1144	194
855	1145	192
856	1146	191
857	1146	189
858	1147	188
859	1148	187
860	1149	185
861	1150	184
862	1151	182
863	1152	181
864	1153	180
865	1155	178
