iter	Passed	Remaining
437	1434	1840
438	1436	1835
439	1438	1830
440	1440	1825
441	1442	1821
442	1444	1816
443	1445	1810
444	1451	1810
445	1453	1805
446	1456	1801
447	1458	1796
448	1470	1805
449	1472	1800
450	1474	1795
451	1476	1790
452	1480	1787
453	1500	1804
454	1502	1799
455	1504	1794
456	1506	1789
457	1508	1784
458	1512	1783
459	1515	1779
460	1518	1774
461	1520	1770
462	1522	1766
463	1525	1762
464	1528	1758
465	1530	1754
466	1532	1749
467	1551	1763
468	1553	1758
469	1555	1754
470	1557	1749
471	1562	1747
472	1564	1743
473	1567	1738
474	1569	1734
475	1571	1730
476	1576	1727
477	1578	1723
478	1583	1722
479	1589	1721
480	1591	1717
481	1593	1712
482	1595	1707
483	1597	1703
484	1601	1700
485	1605	1698
486	1608	1693
487	1610	1689
488	1612	1685
489	1614	1680
490	1616	1676
491	1622	1675
492	1624	1670
493	1627	1666
494	1629	1662
495	1632	1659
496	1641	1661
497	1643	1657
498	1646	1652
499	1648	1648
500	1652	1645
501	1659	1646
502	1661	1642
503	1666	1640
504	1670	1637
505	1672	1632
506	1675	1629
507	1678	1625
508	1684	1624
509	1686	1620
510	1689	1616
511	1692	1613
512	1697	1611
513	1699	1607
514	1702	1602
515	1704	1598
516	1706	1594
517	1714	1595
518	1769	1640
519	1774	1638
520	1779	1635
521	1781	1631
522	1785	1628
523	1788	1625
524	1804	1632
525	1807	1628
526	1811	1626
527	1813	1621
528	1815	1616
529	1817	1611
530	1823	1610
531	1825	1606
532	1827	1601
533	1829	1596
534	1831	1591
535	1833	1587
536	1835	1582
537	1838	1578
538	1840	1574
539	1842	1569
540	1844	1564
541	1846	1560
542	1848	1556
543	1850	1551
544	1852	1546
545	1878	1562
546	1880	1557
547	1882	1552
548	1884	1547
549	1887	1544
550	1890	1540
551	1893	1537
552	1895	1532
553	1897	1527
554	1898	1522
555	1901	1518
556	1903	1513
557	1904	1508
558	1906	1503
559	1908	1499
560	1910	1494
561	1912	1490
562	1924	1493
563	1926	1489
564	1929	1485
565	1932	1482
566	1934	1477
567	1936	1472
568	1937	1467
569	1939	1463
570	1943	1460
571	1945	1455
572	1947	1451
573	1952	1449
574	1959	1448
575	1961	1444
576	1977	1449
577	1979	1445
578	1981	1440
579	1983	1436
580	1984	1431
581	1988	1428
582	1990	1423
583	1992	1419
584	2021	1434
585	2024	1430
586	2026	1426
587	2029	1421
588	2031	1417
589	2037	1415
590	2039	1411
591	2044	1409
592	2047	1405
593	2051	1402
594	2053	1397
595	2055	1393
596	2078	1403
597	2080	1398
598	2084	1395
599	2085	1390
600	2087	1385
601	2089	1381
602	2090	1376
603	2093	1372
604	2096	1368
605	2099	1365
606	2111	1366
607	2115	1363
608	2117	1359
609	2118	1354
610	2122	1351
611	2126	1348
612	2131	1345
613	2133	1341
614	2135	1336
615	2137	1332
616	2139	1328
617	2141	1323
618	2142	1318
619	2143	1313
620	2146	1309
621	2147	1305
622	2149	1300
623	2150	1295
624	2151	1291
625	2154	1286
626	2155	1282
627	2156	1277
628	2157	1272
629	2160	1268
630	2161	1264
631	2163	1259
632	2164	1254
633	2165	1250
634	2166	1245
635	2167	1240
636	2169	1236
637	2170	1231
638	2171	1227
639	2173	1222
640	2175	1218
641	2176	1213
642	2177	1209
643	2179	1204
644	2180	1200
645	2181	1195
646	2182	1190
647	2183	1186
648	2184	1181
649	2185	1177
650	2187	1172
651	2188	1168
652	2190	1164
653	2191	1159
654	2192	1155
655	2194	1150
656	2195	1146
657	2196	1141
658	2197	1136
659	2198	1132
660	2199	1127
661	2200	1123
662	2201	1119
663	2202	1114
664	2204	1110
665	2206	1106
666	2207	1102
667	2208	1097
668	2209	1093
669	2210	1088
670	2211	1084
671	2212	1080
672	2213	1075
673	2215	1071
674	2216	1067
675	2218	1063
676	2220	1059
677	2222	1055
678	2224	1051
679	2227	1048
